1	6	4	0
2	7	11	0
3	2	5	13
6	1	5	14
8	8	3	0
9	12	3	15
10	6	4	0
12	11	12	17
13	7	7	0
14	6	4	0
15	8	3	0
16	6	4	0
17	5	4	0
18	8	3	0
19	7	11	0
20	7	7	0
21	9	3	0
22	3	5	0
24	5	4	0
25	12	3	0
26	7	11	0
27	1	5	0
28	12	3	18
31	5	4	0
32	7	11	0
33	2	5	0
34	3	5	0
35	5	4	0
36	3	5	0
37	10	8	19
38	3	5	0
40	3	5	0
41	2	5	0
42	12	3	20
43	4	2	21
44	12	3	22
45	1	5	0
48	11	12	0
49	9	3	0
50	3	5	0
51	7	11	0
52	8	3	0
53	6	4	0
54	7	11	0
46	3	5	0
55	7	7	0
56	2	5	0
57	8	3	0
58	8	3	0
59	12	3	0
60	2	5	23
61	9	3	0
62	3	5	0
63	2	5	0
64	7	11	0
65	2	5	24
68	11	12	0
69	7	7	0
70	7	7	0
73	3	5	0
0	0	0	0
74	6	4	0
75	7	7	0
76	3	5	0
78	7	7	0
79	10	8	0
80	8	3	0
81	8	3	0
84	3	5	0
85	3	5	0
86	12	3	0
87	8	3	0
88	9	3	0
89	7	11	0
90	7	7	0
91	5	4	25
92	5	4	26
93	6	6	0
94	6	6	0
95	7	7	0
96	6	6	0
97	7	7	0
98	8	3	0
99	4	10	27
100	6	6	0
101	6	6	0
102	1	5	28
103	11	12	0
106	6	6	0
107	6	6	0
108	5	4	0
109	7	11	0
110	6	6	0
111	1	5	0
112	3	5	0
113	2	5	29
115	7	11	0
116	7	7	0
117	7	11	0
118	1	5	30
119	1	5	0
120	5	4	0
121	5	4	0
122	2	5	0
123	7	11	0
126	2	5	0
127	1	5	0
129	10	8	31
0	0	0	0
130	7	11	0
132	4	2	0
133	8	3	0
134	2	5	32
135	1	5	0
136	5	4	0
137	1	5	0
138	11	12	0
139	5	4	0
140	7	7	0
143	11	12	0
144	9	3	0
145	2	5	0
146	3	5	33
147	11	12	0
104	4	2	0
149	7	7	0
150	6	6	0
151	5	4	34
0	0	0	0
153	9	3	0
154	11	12	0
155	12	3	0
156	12	3	0
157	5	4	0
159	7	11	0
160	7	7	0
161	8	3	0
162	6	6	0
47	3	5	0
164	7	11	0
165	7	11	35
166	3	5	0
0	0	0	0
0	0	0	0
0	0	0	0
167	11	12	0
169	3	5	0
170	6	9	36
171	3	5	0
172	7	11	0
173	1	5	0
174	3	5	0
175	5	10	0
176	7	11	0
177	7	11	0
178	11	12	0
179	2	5	0
180	1	5	37
105	4	10	38
0	0	0	0
182	7	7	0
183	5	4	0
189	2	5	0
190	12	3	0
191	1	5	0
192	7	7	0
193	7	7	0
194	6	6	0
195	6	9	0
196	1	5	0
197	5	4	0
198	5	4	0
199	3	5	0
201	11	12	0
202	8	3	0
203	2	5	39
204	6	9	40
205	6	9	0
207	11	12	0
208	1	5	0
209	7	11	0
210	6	6	0
211	7	7	0
212	10	8	41
213	12	3	0
214	6	9	0
215	11	12	0
216	12	3	42
217	5	4	0
220	6	6	0
221	1	5	0
222	1	5	0
